ii,dv,comp1,comp2,comp3,comp4,comp5,comp6,fracao_fiscal
3417030,8,BOX,1,PAV,11,,,"0,042065"
3417031,6,BOX,"2,4",PAV,11,,,"0,042517"
3417032,4,BOX,3,PAV,11,,,"0,031156"
3417033,2,BOX,"5,7",PAV,11,,,"0,060544"
3417034,0,BOX,6,PAV,11,,,"0,034482"
3417035,7,BOX,8,PAV,11,,,"0,027642"
3417036,5,BOX,"9,11,13,15",PAV,11,,,"0,088701"
3417037,3,BOX,10,PAV,11,,,"0,042065"
3417038,1,BOX,12,PAV,11,,,"0,039012"
3417039,9,BOX,14,PAV,11,,,"0,042065"
3417040,7,BOX,16,PAV,11,,,"0,021032"
3417041,5,BOX,17,PAV,11,,,"0,021032"
3417042,3,BOX,18,PAV,11,,,"0,021032"
3417043,1,BOX,19,PAV,11,,,"0,021032"
3417044,9,BOX,20,PAV,11,,,"0,029251"
3417045,6,BOX,21,PAV,11,,,"0,021032"
3417046,4,BOX,22,PAV,11,,,"0,021032"
3417047,2,BOX,23,PAV,11,,,"0,042065"
3417048,0,BOX,"24,26",PAV,11,,,"0,042517"
3417049,8,BOX,25,PAV,11,,,"0,025067"
3417050,6,BOX,27,PAV,11,,,"0,021032"
3417051,4,BOX,28,PAV,11,,,"0,021032"
3417052,2,BOX,29,PAV,11,,,"0,021032"
3417053,0,BOX,30,PAV,11,,,"0,021032"
3417054,8,BOX,31,PAV,11,,,"0,021032"
3417055,5,BOX,32,PAV,11,,,"0,031568"
3417056,3,BOX,33,PAV,11,,,"0,021032"
3417057,1,BOX,34,PAV,11,,,"0,026412"
3417058,9,BOX,A,PAV,11,,,"0,030784"
3417059,7,BOX,B,PAV,11,,,"0,00792"
3417060,5,BOX,C,PAV,11,,,"0,00722"
3417061,3,BOX,D,PAV,11,,,"0,007621"
3417062,1,BOX,E,PAV,11,,,"0,005006"
3417063,9,BOX,F,PAV,11,,,"0,020996"
3417064,7,BOX,G,PAV,11,,,"0,020921"
1878793,7,,,,,,,1
3417065,4,BOX,"1,3",PAV,13,,,"0,049382"
3417066,2,BOX,2,PAV,13,,,"0,025394"
3417067,0,BOX,4,PAV,13,,,"0,025394"
3417068,8,BOX,5,PAV,13,,,"0,022401"
3417069,6,BOX,6,PAV,13,,,"0,012697"
3417070,4,BOX,7,PAV,13,,,"0,025394"
3417071,2,BOX,"8,10,12A22",PAV,13,,,"0,263984"
3417072,0,BOX,9,PAV,13,,,"0,020652"
3417073,8,BOX,11,PAV,13,,,"0,012697"
3417074,6,BOX,"23,24,26",PAV,13,,,"0,072839"
3417075,3,BOX,25,PAV,13,,,"0,024072"
3417076,1,BOX,27 A 32,PAV,13,,,"0,103349"
3417077,9,BOX,33 A 36,PAV,13,,,"0,075649"
3417078,7,BOX,"37,39",PAV,13,,,"0,026919"
3417079,5,BOX,38,PAV,13,,,"0,012697"
3417080,3,BOX,40,PAV,13,,,"0,048067"
3417081,1,BOX,42,PAV,13,,,"0,025394"
3417082,9,BOX,"44,46",PAV,13,,,"0,039013"
3417083,7,BOX,47,PAV,13,,,"0,015961"
3417084,5,BOX,48,PAV,13,,,"0,048067"
3417085,2,BOX,A,PAV,13,,,"0,034554"
3417086,0,BOX,B,PAV,13,,,"0,015417"
3417087,8,BOX,"1,2",PAV,14,,,"0,033433"
3417088,6,BOX,"3,4",PAV,14,,,"0,030804"
3417089,4,BOX,"5A10,12,14",PAV,14,,,"0,131319"
3417090,2,BOX,"11,13,15",E,16,PAV,14,"0,0684"
3417091,0,BOX,"17,18",PAV,14,,,"0,036901"
3417092,8,BOX,19,PAV,14,,,"0,036807"
3417093,6,BOX,20,PAV,14,,,"0,015336"
3417094,4,BOX,21,PAV,14,,,"0,014021"
3417095,1,BOX,22,PAV,14,,,"0,018403"
3417096,9,BOX,23,PAV,14,,,"0,014985"
3417097,7,BOX,24,PAV,14,,,"0,034914"
3417098,5,BOX,25 A 29,PAV,14,,,"0,115733"
3417099,3,BOX,30,PAV,14,,,"0,012269"
3417100,9,BOX,"31,33",PAV,14,,,"0,074403"
3417101,7,BOX,32,PAV,14,,,"0,012269"
3417102,5,BOX,34,PAV,14,,,"0,024538"
3417103,3,BOX,35,PAV,14,,,"0,024538"
3417104,1,BOX,36,PAV,14,,,"0,032425"
3417105,8,BOX,"37A41,43",E,45,PAV,14,"0,129974"
3417106,6,BOX,"42,44",PAV,14,,,"0,024801"
3417107,4,BOX,46,PAV,14,,,"0,031312"
3417108,2,BOX,A,PAV,14,,,"0,017352"
3417109,0,BOX,B,PAV,14,,,"0,009464"
3417110,8,BOX,C,PAV,14,,,"0,026291"
3417111,6,BOX,D,PAV,14,,,"0,029295"
3417112,4,BOX,1,PAV,21,,,"0,006356"
3417113,2,BOX,2,PAV,21,,,"0,008475"
3417114,0,BOX,3,PAV,21,,,"0,009747"
3417115,7,BOX,4,PAV,21,,,"0,025259"
3417116,5,BOX,5,PAV,21,,,"0,887389"
3417117,3,BOX,6,PAV,21,,,"0,014832"
3417118,1,BOX,7,PAV,21,,,"0,018116"
3417119,9,BOX,10,PAV,21,,,"0,029822"
3417120,7,BOX,"1,2,3",PAV,22,,,"0,075198"
3417121,5,BOX,4,PAV,22,,,"0,0186"
3417122,3,BOX,5,PAV,22,,,"0,035682"
3417123,1,BOX,"6,8",PAV,22,,,"0,040256"
3417124,9,BOX,7,PAV,22,,,"0,020346"
3417125,6,BOX,"9,11",PAV,22,,,"0,057161"
3417126,4,BOX,10,PAV,22,,,"0,024357"
3417127,2,BOX,12,PAV,22,,,"0,0124"
3417128,0,BOX,13,PAV,22,,,"0,015943"
3417129,8,BOX,"14,16",PAV,22,,,"0,044761"
3417130,6,BOX,15,PAV,22,,,"0,014614"
3417131,4,BOX,17,PAV,22,,,"0,027457"
3417132,2,BOX,18,PAV,22,,,"0,0248"
3417133,0,BOX,19,PAV,22,,,"0,0186"
3417134,8,BOX,20,PAV,22,,,"0,014171"
3417135,5,BOX,21,PAV,22,,,"0,0124"
3417136,3,BOX,"22,24",PAV,22,,,"0,041654"
3417137,1,BOX,23,PAV,22,,,"0,020371"
3417138,9,BOX,25,PAV,22,,,"0,0248"
3417139,7,BOX,"27,29",PAV,22,,,"0,0186"
3417140,5,BOX,28,PAV,22,,,"0,027989"
3417141,3,BOX,30,PAV,22,,,"0,033392"
3417142,1,BOX,31,PAV,22,,,"0,026572"
3417143,9,BOX,32,PAV,22,,,"0,0186"
3417144,7,BOX,33,PAV,22,,,"0,026698"
3417145,4,BOX,34,PAV,22,,,"0,015057"
3417146,2,BOX,"35,37,39",PAV,22,,,"0,060774"
3417147,0,BOX,36,PAV,22,,,"0,031"
3417148,8,BOX,38,PAV,22,,,"0,01984"
3417149,6,BOX,"40,41,42",E,44,PAV,22,"0,087225"
3417150,4,BOX,43,PAV,22,,,"0,0124"
3417151,2,BOX,45,PAV,22,,,"0,0124"
3417152,0,BOX,46,PAV,22,,,"0,022421"
3417153,8,BOX,A,PAV,22,,,"0,02232"
3417154,6,BOX,B,PAV,22,,,"0,017714"
3417155,3,BOX,C,PAV,22,,,"0,00341"
3417156,1,BOX,1 A 6,PAV,23,,,"0,146618"
3417157,9,BOX,7 A 12,PAV,23,,,"0,083787"
3417158,7,BOX,"13,15",PAV,23,,,"0,054271"
3417159,5,BOX,"14,16,18",PAV,23,,,"0,045517"
3417160,3,BOX,17,PAV,23,,,"0,021934"
3417161,1,BOX,19 A 22,PAV,23,,,"0,099026"
3417162,9,BOX,"23,25",PAV,23,,,"0,041172"
3417163,7,BOX,"24,26,28",PAV,23,,,"0,090167"
3417164,5,BOX,27,PAV,23,,,"0,010967"
3417165,2,BOX,"29,31,33",PAV,23,,,"0,073982"
3417166,0,BOX,32,PAV,23,,,"0,016372"
3417167,8,BOX,"34,35,36",E,38,PAV,23,"0,087722"
3417168,6,BOX,37,PAV,23,,,"0,020649"
3417169,4,BOX,39 A 46,PAV,23,,,"0,111911"
3417170,2,BOX,"48,5",PAV,23,,,"0,038161"
3417171,0,BOX,A,PAV,23,,,"0,016137"
3417172,8,BOX,B,PAV,23,,,"0,027496"
3417173,6,BOX,C,PAV,23,,,"0,010967"
3417174,4,BOX,D,PAV,23,,,"0,003133"
3417175,1,BOX,"1,3,5",PAV,24,,,"0,062038"
3417176,9,BOX,"2,4,6,8",PAV,24,,,"0,124294"
3417177,7,BOX,7,PAV,24,,,"0,020388"
3417178,5,BOX,"9,1",PAV,24,,,"0,031273"
3417179,3,BOX,"13,14",PAV,24,,,"0,025594"
3417180,1,BOX,"15,16,18",PAV,24,,,"0,072013"
3417181,9,BOX,"17,19,20",E,21,PAV,24,"0,124076"
3417182,7,BOX,22,PAV,24,,,"0,010194"
3417183,5,BOX,"23,24",PAV,24,,,"0,030837"
3417184,3,BOX,"25,26",PAV,24,,,"0,033968"
3417185,0,BOX,"27,28",PAV,24,,,"0,025594"
3417186,8,BOX,"29,3",PAV,24,,,"0,033749"
3417187,6,BOX,31 A 36,PAV,24,,,"0,098522"
3417188,4,BOX,"37,38",PAV,24,,,"0,051188"
3417189,2,BOX,"39,40,42",PAV,24,,,"0,072013"
3417190,0,BOX,"41,43,44",PAV,24,,,"0,065564"
3417191,8,BOX,45,PAV,24,,,"0,030582"
3417192,6,BOX,46,PAV,24,,,"0,015145"
3417193,4,BOX,47,PAV,24,,,"0,008737"
3417194,2,BOX,"48,5",PAV,24,,,"0,045582"
3417195,9,BOX,A,PAV,24,,,"0,005097"
3417196,7,BOX,B,PAV,24,,,"0,013543"
3417202,3,BOX,1,PAV,31,,,"0,023054"
3417203,1,BOX,2,PAV,31,,,"0,020419"
3417204,9,BOX,3,PAV,31,,,"0,014408"
3417205,6,BOX,4,PAV,31,,,"0,021842"
3417206,4,BOX,5,PAV,31,,,"0,024371"
3417207,2,BOX,6,PAV,31,,,"0,017537"
3417208,0,BOX,"7,9,11",PAV,31,,,"0,048248"
3417209,8,BOX,8,PAV,31,,,"0,026923"
3417210,6,BOX,10,PAV,31,,,"0,008233"
3417211,4,BOX,12,PAV,31,,,"0,023301"
3417212,2,BOX,13,PAV,31,,,"0,014161"
3417213,0,BOX,14,PAV,31,,,"0,01729"
3417214,8,BOX,15,PAV,31,,,"0,013997"
3417215,5,BOX,16,PAV,31,,,"0,01729"
3417216,3,BOX,17,PAV,31,,,"0,011527"
3417217,1,BOX,"18,2",PAV,31,,,"0,039944"
3417218,9,BOX,19,PAV,31,,,"0,011527"
3417219,7,BOX,"21,22",PAV,31,,,"0,036516"
3417220,5,BOX,23,PAV,31,,,"0,01375"
3417221,3,BOX,24,PAV,31,,,"0,022395"
3417222,1,BOX,25,PAV,31,,,"0,020254"
3417223,9,BOX,26,PAV,31,,,"0,01729"
3417224,7,BOX,"27,28",PAV,31,,,"0,038821"
3417225,4,BOX,"29,3",PAV,31,,,"0,033675"
3417226,2,BOX,"31,33 A 46",PAV,31,,,"0,367418"
3417227,0,BOX,32,PAV,31,,,"0,020995"
3417228,8,BOX,48,PAV,31,,,"0,018113"
3417229,6,BOX,49,PAV,31,,,"0,027747"
3417230,4,BOX,SANTANDER,PAV,31,,,"0,028941"
3417231,2,BOX,"1,3,5",PAV,32,,,"0,099441"
3417232,0,BOX,"2,4,6",PAV,32,,,"0,043429"
3417233,8,BOX,7,PAV,32,,,"0,018029"
3417234,6,BOX,8,PAV,32,,,"0,021786"
3417235,3,BOX,9,PAV,32,,,"0,03268"
3417236,1,BOX,10,PAV,32,,,"0,013816"
3417237,9,BOX,"11,13",PAV,32,,,"0,054933"
3417238,7,BOX,12,PAV,32,,,"0,018985"
3417239,5,BOX,14,PAV,32,,,"0,013538"
3417240,3,BOX,15,PAV,32,,,"0,021786"
3417241,1,BOX,"16,18",PAV,32,,,"0,041721"
3417242,9,BOX,"17,19",PAV,32,,,"0,02202"
3417243,7,BOX,20,PAV,32,,,"0,017568"
3417244,5,BOX,21,PAV,32,,,"0,010893"
3417245,2,BOX,22,PAV,32,,,"0,017896"
3417246,0,BOX,23,PAV,32,,,"0,010893"
3417247,8,BOX,24,PAV,32,,,"0,03268"
3417248,6,BOX,25,PAV,32,,,"0,010893"
3417249,4,BOX,26,PAV,32,,,"0,018681"
3417250,2,BOX,27,PAV,32,,,"0,021786"
3417251,0,BOX,28,PAV,32,,,"0,01634"
3417252,8,BOX,29,PAV,32,,,"0,03268"
3417253,6,BOX,30,PAV,32,,,"0,01634"
3417254,4,BOX,31,PAV,32,,,"0,021397"
3417255,1,BOX,32,PAV,32,,,"0,010893"
3417256,9,BOX,"33,35,36",E,37,PAV,32,"0,127819"
3417257,7,BOX,34,PAV,32,,,"0,010893"
3417258,5,BOX,38,PAV,32,,,"0,012449"
3417259,3,BOX,"39 A 43,45",PAV,32,,,"0,091551"
3417260,1,BOX,"44,46",PAV,32,,,"0,054933"
3417261,9,BOX,A,PAV,32,,,"0,032446"
3417262,7,BOX,S/N,PAV,32,,,"0,005446"
3417263,5,BOX,B,PAV,32,,,"0,010115"
3417264,3,BOX,C,PAV,32,,,"0,013227"
3417265,0,BOX,1,PAV,33,,,"0,014707"
3417266,8,BOX,2,PAV,33,,,"0,01961"
3417267,6,BOX,"3,5",PAV,33,,,"0,044649"
3417268,4,BOX,"4,6",PAV,33,,,"0,039641"
3417269,2,BOX,7,PAV,33,,,"0,013447"
3417270,0,BOX,8,PAV,33,,,"0,01961"
3417271,8,BOX,"9,11,13,14",PAV,33,,,"0,132941"
3417272,6,BOX,10,PAV,33,,,"0,012256"
3417273,4,BOX,12,PAV,33,,,"0,006023"
3417274,2,BOX,"15,17",PAV,33,,,"0,028511"
3417275,9,BOX,"19,20,22",E,24,PAV,33,"0,089298"
3417276,7,BOX,21,PAV,33,,,"0,029415"
3417277,5,BOX,23,PAV,33,,,"0,01961"
3417278,3,BOX,25,PAV,33,,,"0,01961"
3417279,1,BOX,"26,28",PAV,33,,,"0,03905"
3417280,9,BOX,29 A 36,PAV,33,,,"0,147716"
