ii,dv,area_edificada,fracao_fiscal
3417030,8,9642,",0420650"
3417031,6,9642,",0425170"
3417032,4,9642,",0311560"
3417033,2,9642,",0605440"
3417034,0,9642,",0344820"
3417035,7,9642,",0276420"
3417036,5,9642,",0887010"
3417037,3,9642,",0420650"
3417038,1,9642,",0390120"
3417039,9,9642,",0420650"
3417040,7,9642,",0210320"
3417041,5,9642,",0210320"
3417042,3,9642,",0210320"
3417043,1,9642,",0210320"
3417044,9,9642,",0292510"
3417045,6,9642,",0210320"
3417046,4,9642,",0210320"
3417047,2,9642,",0420650"
3417048,0,9642,",0425170"
3417049,8,9642,",0250670"
3417050,6,9642,",0210320"
3417051,4,9642,",0210320"
3417052,2,9642,",0210320"
3417053,0,9642,",0210320"
3417054,8,9642,",0210320"
3417055,5,9642,",0315680"
3417056,3,9642,",0210320"
3417057,1,9642,",0264120"
3417058,9,9642,",0307840"
3417059,7,9642,",0079200"
3417060,5,9642,",0072200"
3417061,3,9642,",0076210"
3417062,1,9642,",0050060"
3417063,9,9642,",0209960"
3417064,7,9642,",0209210"
1878793,7,9150,"1,0000000"
3417065,4,11167,",0493820"
3417066,2,11167,",0253940"
3417067,0,11167,",0253940"
3417068,8,11167,",0224010"
3417069,6,11167,",0126970"
3417070,4,11167,",0253940"
3417071,2,11167,",2639840"
3417072,0,11167,",0206520"
3417073,8,11167,",0126970"
3417074,6,11167,",0728390"
3417075,3,11167,",0240720"
3417076,1,11167,",1033490"
3417077,9,11167,",0756490"
3417078,7,11167,",0269190"
3417079,5,11167,",0126970"
3417080,3,11167,",0480670"
3417081,1,11167,",0253940"
3417082,9,11167,",0390130"
3417083,7,11167,",0159610"
3417084,5,11167,",0480670"
3417085,2,11167,",0345540"
3417086,0,11167,",0154170"
3417087,8,11002,",0334330"
3417088,6,11002,",0308040"
3417089,4,11002,",1313190"
3417090,2,11002,",0684000"
3417091,0,11002,",0369010"
3417092,8,11002,",0368070"
3417093,6,11002,",0153360"
3417094,4,11002,",0140210"
3417095,1,11002,",0184030"
3417096,9,11002,",0149850"
3417097,7,11002,",0349140"
3417098,5,11002,",1157330"
3417099,3,11002,",0122690"
3417100,9,11002,",0744030"
3417101,7,11002,",0122690"
3417102,5,11002,",0245380"
3417103,3,11002,",0245380"
3417104,1,11002,",0324250"
3417105,8,11002,",1299740"
3417106,6,11002,",0248010"
3417107,4,11002,",0313120"
3417108,2,11002,",0173520"
3417109,0,11002,",0094640"
3417110,8,11002,",0262910"
3417111,6,11002,",0292950"
3417112,4,9465,",0063560"
3417113,2,9465,",0084750"
3417114,0,9465,",0097470"
3417115,7,9465,",0252590"
3417116,5,9465,",8873890"
3417117,3,9465,",0148320"
3417118,1,9465,",0181160"
3417119,9,9465,",0298220"
3417120,7,11306,",0751980"
3417121,5,11306,",0186000"
3417122,3,11306,",0356820"
3417123,1,11306,",0402560"
3417124,9,11306,",0203460"
3417125,6,11306,",0571610"
3417126,4,11306,",0243570"
3417127,2,11306,",0124000"
3417128,0,11306,",0159430"
3417129,8,11306,",0447610"
3417130,6,11306,",0146140"
3417131,4,11306,",0274570"
3417132,2,11306,",0248000"
3417133,0,11306,",0186000"
3417134,8,11306,",0141710"
3417135,5,11306,",0124000"
3417136,3,11306,",0416540"
3417137,1,11306,",0203710"
3417138,9,11306,",0248000"
3417139,7,11306,",0186000"
3417140,5,11306,",0279890"
3417141,3,11306,",0333920"
3417142,1,11306,",0265720"
3417143,9,11306,",0186000"
3417144,7,11306,",0266980"
3417145,4,11306,",0150570"
3417146,2,11306,",0607740"
3417147,0,11306,",0310000"
3417148,8,11306,",0198400"
3417149,6,11306,",0872250"
3417150,4,11306,",0124000"
3417151,2,11306,",0124000"
3417152,0,11306,",0224210"
3417153,8,11306,",0223200"
3417154,6,11306,",0177140"
3417155,3,11306,",0034100"
3417156,1,12027,",1466180"
3417157,9,12027,",0837870"
3417158,7,12027,",0542710"
3417159,5,12027,",0455170"
3417160,3,12027,",0219340"
3417161,1,12027,",0990260"
3417162,9,12027,",0411720"
3417163,7,12027,",0901670"
3417164,5,12027,",0109670"
3417165,2,12027,",0739820"
3417166,0,12027,",0163720"
3417167,8,12027,",0877220"
3417168,6,12027,",0206490"
3417169,4,12027,",1119110"
3417170,2,12027,",0381610"
3417171,0,12027,",0161370"
3417172,8,12027,",0274960"
3417173,6,12027,",0109670"
3417174,4,12027,",0031330"
3417175,1,13241,",0620380"
3417176,9,13241,",1242940"
3417177,7,13241,",0203880"
3417178,5,13241,",0312730"
3417179,3,13241,",0255940"
3417180,1,13241,",0720130"
3417181,9,13241,",1240760"
3417182,7,13241,",0101940"
3417183,5,13241,",0308370"
3417184,3,13241,",0339680"
3417185,0,13241,",0255940"
3417186,8,13241,",0337490"
3417187,6,13241,",0985220"
3417188,4,13241,",0511880"
3417189,2,13241,",0720130"
3417190,0,13241,",0655640"
3417191,8,13241,",0305820"
3417192,6,13241,",0151450"
3417193,4,13241,",0087370"
3417194,2,13241,",0455820"
3417195,9,13241,",0050970"
3417196,7,13241,",0135430"
3417202,3,11439,",0230540"
3417203,1,11439,",0204190"
3417204,9,11439,",0144080"
3417205,6,11439,",0218420"
3417206,4,11439,",0243710"
3417207,2,11439,",0175370"
3417208,0,11439,",0482480"
3417209,8,11439,",0269230"
3417210,6,11439,",0082330"
3417211,4,11439,",0233010"
3417212,2,11439,",0141610"
3417213,0,11439,",0172900"
3417214,8,11439,",0139970"
3417215,5,11439,",0172900"
3417216,3,11439,",0115270"
3417217,1,11439,",0399440"
3417218,9,11439,",0115270"
3417219,7,11439,",0365160"
3417220,5,11439,",0137500"
3417221,3,11439,",0223950"
3417222,1,11439,",0202540"
3417223,9,11439,",0172900"
3417224,7,11439,",0388210"
3417225,4,11439,",0336750"
3417226,2,11439,",3674180"
3417227,0,11439,",0209950"
3417228,8,11439,",0181130"
3417229,6,11439,",0277470"
3417230,4,11439,",0289410"
3417231,2,12040,",0994410"
3417232,0,12040,",0434290"
3417233,8,12040,",0180290"
3417234,6,12040,",0217860"
3417235,3,12040,",0326800"
3417236,1,12040,",0138160"
3417237,9,12040,",0549330"
3417238,7,12040,",0189850"
3417239,5,12040,",0135380"
3417240,3,12040,",0217860"
3417241,1,12040,",0417210"
3417242,9,12040,",0220200"
3417243,7,12040,",0175680"
3417244,5,12040,",0108930"
3417245,2,12040,",0178960"
3417246,0,12040,",0108930"
3417247,8,12040,",0326800"
3417248,6,12040,",0108930"
3417249,4,12040,",0186810"
3417250,2,12040,",0217860"
3417251,0,12040,",0163400"
3417252,8,12040,",0326800"
3417253,6,12040,",0163400"
3417254,4,12040,",0213970"
3417255,1,12040,",0108930"
3417256,9,12040,",1278190"
3417257,7,12040,",0108930"
3417258,5,12040,",0124490"
3417259,3,12040,",0915510"
3417260,1,12040,",0549330"
3417261,9,12040,",0324460"
3417262,7,12040,",0054460"
3417263,5,12040,",0101150"
3417264,3,12040,",0132270"
3417265,0,13378,",0147070"
3417266,8,13378,",0196100"
3417267,6,13378,",0446490"
3417268,4,13378,",0396410"
3417269,2,13378,",0134470"
3417270,0,13378,",0196100"
3417271,8,13378,",1329410"
3417272,6,13378,",0122560"
3417273,4,13378,",0060230"
3417274,2,13378,",0285110"
3417275,9,13378,",0892980"
3417276,7,13378,",0294150"
3417277,5,13378,",0196100"
3417278,3,13378,",0196100"
3417279,1,13378,",0390500"
3417280,9,13378,",1477160"
3417281,7,13378,",0294150"
3417282,5,13378,",0196100"
3417283,3,13378,",0149520"
3417284,1,13378,",1798650"
3417285,8,13378,",0332670"
3417286,6,13378,",0028710"
3417287,4,13378,",0439130"
3417288,2,11232,",0474040"
3417289,0,11232,",0151920"
3417290,8,11232,",0212050"
3417291,6,11232,",0185550"
3417292,4,11232,",0169640"
3417293,2,11232,",1441820"
3417294,0,11232,",0152200"
3417295,7,11232,",0317920"
3417296,5,11232,",0331780"
3417297,3,11232,",0438250"
3417298,1,11232,",0752810"
3417299,9,11232,",0219120"
3417300,5,11232,",0379930"
3417301,3,11232,",0623800"
3417302,1,11232,",1193860"
3417303,9,11232,",0460810"
3417304,7,11232,",0500100"
3417305,4,11232,",0389720"
3417306,2,11232,",0621150"
3417307,0,11232,",0621150"
3417308,8,11232,",0362260"
3417309,6,14100,",0124120"
3417310,4,14100,",0158460"
3417311,2,14100,",1019760"
3417312,0,14100,",0369750"
3417313,8,14100,",0165270"
3417314,6,14100,",0413520"
3417315,3,14100,",0321080"
3417316,1,14100,",0811810"
3417317,9,14100,",0092650"
3417318,7,14100,",0162010"
3417319,5,14100,",0249630"
3417320,3,14100,",0274370"
3417321,1,14100,",1114410"
3417322,9,14100,",0212120"
3417323,7,14100,",0362450"
3417324,5,14100,",2423040"
3417325,2,14100,",0104520"
3417326,0,14100,",0182910"
3417327,8,14100,",0136690"
3417328,6,14100,",0182910"
3417329,4,14100,",0267840"
3417330,2,14100,",0220800"
3417331,0,14100,",0226680"
3417332,8,14100,",0269150"
3417333,6,14100,",0133920"
3417334,4,12091,",0219770"
3417335,1,12091,",0324610"
3417336,9,12091,",0139850"
3417337,7,12091,",0282700"
3417338,5,12091,",0196210"
3417339,3,12091,",0279710"
3417340,1,12091,",0332800"
3417341,9,12091,",0111880"
3417342,7,12091,",0170220"
3417343,5,12091,",0197390"
3417344,3,12091,",0279710"
3417345,0,12091,",0373170"
3417346,8,12091,",0279710"
3417347,6,12091,",0181410"
3417348,4,12091,",0171420"
3417349,2,12091,",0851130"
3417350,0,12091,",0166230"
3417351,8,12091,",0187800"
3417352,6,12091,",0190200"
3417353,4,12091,",0139850"
3417354,2,12091,",0214180"
3417355,9,12091,",0182210"
3417356,7,12091,",0244650"
3417357,5,12091,",0177530"
3417358,3,12091,",0270120"
3417359,1,12091,",0139850"
3417360,9,12091,",0104690"
3417361,7,12091,",0282700"
3417362,5,12091,",0331090"
3417363,3,12091,",0279710"
3417364,1,12091,",0224170"
3417365,8,12091,",0208580"
3417366,6,12091,",0494750"
3417367,4,12091,",0129460"
3417368,2,12091,",0682170"
3417369,0,12091,",0851130"
3417370,8,12091,",0026370"
3417371,6,12091,",0080710"
3417372,4,11813,",0232110"
3417373,2,11813,",0696340"
3417374,0,11813,",0148860"
3417375,7,11813,",0182490"
3417376,5,11813,",0199710"
3417377,3,11813,",0464220"
3417378,1,11813,",0486500"
3417379,9,11813,",0216530"
3417380,7,11813,",0301740"
3417381,5,11813,",0455930"
3417382,3,11813,",0645370"
3417383,1,11813,",0464220"
3417384,9,11813,",0626420"
3417385,6,11813,",0150910"
3417386,4,11813,",0501130"
3417387,2,11813,",0758700"
3417388,0,11813,",0114820"
3417389,8,11813,",1382760"
3417390,6,11813,",0385710"
3417391,4,11813,",0172240"
3417392,2,11813,",0172240"
3417393,0,11813,",0116050"
3417394,8,11813,",0344480"
3417395,5,11813,",0232110"
3417396,3,11813,",0196840"
3417397,1,11813,",0194300"
3417398,9,11813,",0123020"
3417399,7,11813,",0034120"
3417400,3,13546,",0567260"
3417401,1,13546,",0370020"
3417402,9,13546,",0173480"
3417403,7,13546,",0152900"
3417404,5,13546,",0307010"
3417405,2,13546,",1140580"
3417406,0,13546,",0234850"
3417407,8,13546,",0140310"
3417408,6,13546,",0187080"
3417409,4,13546,",0233850"
3417410,2,13546,",0186900"
3417411,0,13546,",0113580"
3417412,8,13546,",1713860"
3417413,6,13546,",1236130"
3417414,4,13546,",0660800"
3417415,1,13546,",0829540"
3417416,9,13546,",0280620"
3417417,7,13546,",0469710"
3417418,5,13546,",0469710"
3417419,3,13546,",0147900"
3417420,1,13546,",0137920"
3417421,9,13546,",0066810"
3417422,7,13546,",0045430"
3417423,5,13546,",0089530"
3417424,3,13546,",0044090"
3417199,1,4026,",8302550"
3417200,7,4026,",0848720"
3417201,5,4026,",0848720"
3417425,0,9774,"1,0000000"
3417428,4,5306,"1,0000000"
3417429,2,2102,"1,0000000"
3417430,0,7013,"1,0000000"
3417431,8,5091,"1,0000000"
3417432,6,8431,"1,0000000"
3417434,2,6815,",0378310"
3417435,9,6815,",0404760"
3417436,7,6815,",0664090"
3417437,5,6815,",0686980"
3417438,3,6815,",1373240"
3417439,1,6815,",0202010"
3417440,9,6815,",0584710"
3417441,7,6815,",0338060"
3417442,5,6815,",1014220"
3417443,3,6815,",0337220"
3417444,1,6815,",0584710"
3417445,8,6815,",1014220"
3417446,6,6815,",0337220"
3417447,4,6815,",0337220"
3417448,2,6815,",1105130"
3417449,0,6815,",0258420"
3417450,8,6815,",0379390"
3417451,6,4198,",0936400"
3417452,4,4198,",0577010"
3417453,2,4198,",2078350"
3417454,0,4198,",1869940"
3417455,7,4198,",1550390"
3417456,5,4198,",0529000"
3417457,3,4198,",0460360"
3417458,1,4198,",0460360"
3417459,9,4198,",0493690"
3417460,7,4198,",0661170"
3417461,5,4198,",0383280"
1978993,2,2776,"1,0000000"
3417462,3,6142,",3585330"
3417463,1,6142,",1472630"
3417464,9,6142,",2035270"
3417465,6,6142,",0483780"
3417466,4,6142,",0541640"
3417467,2,6142,",1881310"
3417468,0,6482,",2103390"
3417469,8,6482,",0093940"
3417470,6,6482,",0762700"
3417471,4,6482,",2817190"
3417472,2,6482,",4222760"
3417473,0,4001,",1704910"
3417474,8,4001,",0194840"
3417475,5,4001,",0277650"
3417476,3,4001,",1207870"
3417477,1,4001,",0219200"
3417478,9,4001,",1096010"
3417479,7,4001,",0626290"
3417480,5,4001,",0420130"
3417481,3,4001,",0196230"
3417482,1,4001,",0287050"
3417483,9,4001,",0282700"
3417484,7,4001,",0808960"
3417485,4,4001,",0798280"
3417486,2,4001,",1383270"
3417487,0,4001,",0496540"
3417488,8,3156,",1836150"
3417489,6,3156,",1836150"
3417490,4,3156,",3556190"
3417491,2,3156,",0246410"
3417492,0,3156,",1512990"
3417493,8,3156,",0442880"
3417494,6,3156,",0569200"
3417495,3,3961,",1240660"
3417496,1,3961,",2560160"
3417497,9,3961,",2037010"
3417498,7,3961,",1975860"
3417499,5,3961,",0633250"
3417500,0,3961,",0272940"
3417501,8,3961,",1280080"
3417502,6,7916,",1343270"
3417503,4,7916,",0831170"
3417504,2,7916,",4301700"
3417505,9,7916,",1186920"
3417506,7,7916,",1879640"
3417507,5,7916,",0457270"
3417508,3,1375,",3111770"
3417509,1,1375,",2691090"
3417510,9,1375,",1180440"
3417511,7,1375,",1084620"
3417512,5,1375,",1932060"
3417513,3,330,"1,0000000"
3417516,6,9494,"1,0000000"
3046781,5,8636,"1,0000000"
3417517,4,840,"1,0000000"
3417518,2,3739,"1,0000000"
3417519,0,11247,"1,0000000"
3417520,8,7300,"1,0000000"
3417521,6,8100,"1,0000000"
3417522,4,2635,"1,0000000"
3417523,2,482,"1,0000000"
3417524,0,950,"1,0000000"
3417525,7,1662,"1,0000000"
3417528,1,3082,"1,0000000"
3417529,9,313,"1,0000000"
3417530,7,1194,"1,0000000"
3417426,8,8709,"1,0000000"
